Run, Event, px, py, pz, energy
146436, 90791944, 3.48722, -3.73268, -47.4184, 47.7121
146436, 90791944, 4.09685, -1.39952, 1.79628, 4.94786
146436, 90791944, -2.09669, -3.67902, 59.2001, 59.3587
146436, 90791944, -0.209905, 4.00098, -6.76581, 7.90697
146436, 90791944, 1.33095, 3.77279, -0.0754296, 4.29393
146436, 90791944, -2.72172, -2.35607, 8.50198, 9.29831
146436, 90791944, -1.35397, 3.29396, 7.80801, 8.64154
146436, 90791944, -1.78331, 2.82671, 17.438, 17.7898
146436, 90791944, 3.25086, 0.681949, 28.4588, 28.6625
146436, 90791944, 1.01075, 3.06215, 7.84721, 8.5625
146436, 90801760, -17.3956, -13.2828, -3.27721, 22.9339
146436, 90801760, 14.6267, -1.64454, 10.0916, 18.4056
146436, 90801760, 8.88463, 10.8084, 13.4678, 19.8714
146436, 90801760, -5.70436, -11.3699, -15.2656, 19.9526
146436, 90801760, 9.33972, -5.81803, -11.4317, 16.1494
146436, 90801760, -3.15695, 9.40158, 10.4726, 14.7233
146436, 90801760, 6.48806, -4.87957, -49.6856, 50.4087
146436, 90801760, 4.71891, -6.06593, 5.66683, 9.76512
146436, 90801760, -7.66973, -0.105253, 15.7318, 17.6529
146436, 90801760, 3.92257, -6.40703, 32.2432, 33.1794
146436, 90801760, 0.331991, -6.70099, 9.15283, 11.4735
146436, 90801760, -5.53023, 2.41339, -198.008, 198.108
146436, 90801760, 4.34725, 3.94107, 53.8988, 54.2348
146436, 90801760, -5.20649, 2.04324, -33.0477, 33.5509
146436, 90801760, -1.91474, 5.17354, -13.4696, 14.621
146436, 90801760, 3.53262, 3.84844, 228.433, 228.496
146436, 90801760, 0.258542, 4.75004, -113.728, 113.833
146436, 90801760, 0.524154, 4.37029, 11.414, 12.2526
146436, 90801760, 2.71368, 3.05425, 8.66641, 9.67874
146436, 90801760, -0.972472, 3.77532, -2.30712, 4.71506
146436, 90801760, -2.54445, -2.31979, -30.5391, 30.7422
146436, 90801760, 2.91146, 1.70205, -6.75348, 7.61418
146436, 90801760, -3.29183, 0.320291, 160.12, 160.155
146436, 90801760, -0.582051, 3.24719, 59.8827, 59.9785
146436, 90801760, -1.83634, 2.69445, -218.616, 218.642
146436, 90816104, -9.27919, -15.0812, 6.27701, 19.1612
146436, 90816104, 4.70844, 7.39542, 3.38592, 9.71815
146436, 90816104, 3.4478, 2.9098, -4.51114, 6.52313
146436, 90816104, 0.284725, 4.48542, 0.110865, 4.57399
146436, 90816104, 2.6068, 2.65035, -1.01584, 4.00653
146436, 90816104, 3.17577, -1.71912, -43.9024, 44.0614
146436, 90816104, 2.71106, 1.88291, 6.50996, 7.344
146436, 90816104, 1.48374, -2.89182, -1.96931, 4.01093
146436, 90825464, -3.21874, -2.14204, -2.07447, 4.5543
146436, 90825464, -3.0786, -1.38942, 100.929, 100.989
146436, 90825464, -3.2846, 0.782705, -5.92043, 6.84149
146436, 90824488, -7.85205, 15.9463, 7.44734, 20.1266
146436, 90824488, 10.4676, -13.6141, 61.7133, 64.3303
146436, 90824488, -4.89481, 15.6833, -98.9351, 100.308
146436, 90824488, 9.27329, -11.2465, 10.74, 18.7385
146436, 90824488, -9.99362, -7.14987, 156.379, 156.891
146436, 90824488, -0.331586, -10.7196, -30.4485, 32.4172
146436, 90824488, -0.259632, -10.0661, -1.30795, 10.6847
146436, 90824488, 3.10749, 7.79985, -33.6783, 34.7968
146436, 90824488, 6.34934, 5.46694, 56.4588, 57.1138
146436, 90824488, -8.05191, 0.335031, 3.11037, 8.9806
146436, 90824488, -2.58059, 7.48666, -4.13361, 9.31884
146436, 90824488, 7.38218, 1.47051, 8.2592, 11.5694
146436, 90824488, 0.284468, -6.87313, 25.19, 26.1766
146436, 90824488, 4.07282, -5.12146, -12.0967, 13.928
146436, 90824488, -2.40733, 5.08877, 50.9719, 51.3041
146436, 90824488, 2.69473, -4.89135, 10.1291, 11.6818
146436, 90824488, -4.37278, 2.90813, 7.70962, 9.50024
146436, 90824488, -2.93749, -4.25409, 2.5438, 5.97617
146436, 90824488, -2.42745, 4.39991, -11.8471, 12.9833
146436, 90824488, 4.05165, 2.85723, 386.297, 386.33
146436, 90824488, -3.80207, 2.82805, -19.6252, 20.2502
146436, 90824488, 3.14667, 3.37116, -2.25158, 5.36164
146436, 90824488, 2.06936, 3.97714, 4.633, 6.63599
146436, 90824488, 4.28072, -0.359726, 9.86353, 10.8788
146436, 90824488, -1.56434, -3.96867, 5.57611, 7.17217
146436, 90824488, 3.69988, 1.77324, -42.8985, 43.1085
146436, 90824488, -3.25317, 2.23559, -3.89063, 5.69963
146436, 90824488, 2.8623, 2.68615, 128.125, 128.19
146436, 90824488, -3.82578, -0.295593, 11.8997, 12.5618
146436, 90824488, 1.96719, 3.13203, 49.2913, 49.4401
146436, 90824488, 0.363028, -3.42867, -160.062, 160.102
146436, 90824488, -3.28968, -0.897017, -13.3724, 13.841
146436, 90824488, -0.988381, -3.16563, 39.2622, 39.4093
146436, 90824488, -1.1508, -2.9452, -16.7202, 17.0255
146436, 90824488, -1.10607, -2.93357, -5.18401, 6.1596
146436, 90824488, 2.9356, -1.03386, 88.9262, 88.9849
146436, 90824488, -0.475006, -3.07197, 166.783, 166.814
146436, 90824488, -1.25967, 2.73015, 77.2401, 77.3032
146436, 90830792, 6.72144, 17.6264, -31.7498, 37.1267
146436, 90830792, -8.59089, -6.37066, 167.495, 167.855
146436, 90830792, 1.43651, -7.5954, 3.60448, 8.63749
146436, 90830792, 0.950394, -7.16858, -13.9732, 15.8666
146436, 90830792, -2.77505, -4.78749, 1.32596, 5.88935
146436, 90830792, -1.24522, 5.10576, -8.97144, 10.4386
146436, 90830792, 0.089128, 4.63695, 14.8856, 15.6532
146436, 90830792, -3.90915, 0.52591, -55.8674, 56.0156
146436, 90830792, -1.21963, -3.56625, -1.67047, 4.30311
146436, 90830792, 3.0087, 2.06775, 2.5971, 4.55975
146436, 90830792, 3.28803, 1.24633, -2.96936, 4.6969
146436, 90830792, -2.42446, -2.39624, 15.1968, 15.604
146436, 90841376, 0.500002, -20.0335, -1.2623, 20.8515
146436, 90841376, -1.99072, 13.5467, 38.3778, 40.9948
146436, 90841376, 5.71322, -0.453909, -72.4625, 72.7042
146436, 90841376, 4.33317, -3.69034, 0.0411305, 6.22288
