Run, Event, particleType, px, py, pz, energy, pt
146436, 90626440, 1, 0.303653, 0.836807, -0.789599, 1.19808, 0.890197
146436, 90626440, 1, 0.178418, 0.610602, 1.18456, 1.35179, 0.636135
146436, 90626440, 1, 0.0681151, 0.855121, -0.311422, 0.92322, 0.85783
146436, 90626440, 1, -0.219205, 1.65935, 1.76826, 2.4388, 1.67377
146436, 90626440, 4, -0.0716315, 0.104011, 0.143111, 0.190866, 0.12629
146436, 90626440, 1, -0.695409, 1.27356, 3.2181, 3.53287, 1.45105
146436, 90626440, 1, -0.444663, 0.488944, -0.43372, 0.802735, 0.660902
146436, 90626440, 1, -0.554927, 0.391056, -0.408091, 0.804293, 0.678873
146436, 90626440, 1, -0.723239, 0.451655, 0.901306, 1.24856, 0.852682
146436, 90626440, 1, -1.01173, 0.626407, -1.39393, 1.83808, 1.18995
146436, 90626440, 1, -1.26898, 0.0806966, -1.2435, 1.78398, 1.27155
146436, 90626440, 1, -0.724418, -0.469007, 4.82859, 4.90709, 0.862989
146436, 90626440, 1, -0.0587239, -0.714412, 2.89975, 2.9903, 0.716822
146436, 90626440, 1, 0.0642228, -0.688329, 3.13075, 3.2092, 0.691319
146436, 90626440, 1, 0.424275, 0.206851, 1.55704, 1.63299, 0.472013
146436, 90626440, 1, 0.730357, -0.0105075, 4.55259, 4.61292, 0.730433
146436, 90626440, 1, 0.144985, 0.938478, 6.75368, 6.82154, 0.949612
146436, 90626440, 1, -1.18134, 0.955753, 9.24841, 9.37346, 1.51955
146436, 90626440, 1, 0.517134, -0.293912, -0.0266356, 0.611556, 0.594821
146436, 90626440, 1, -0.369245, -0.54122, -3.30522, 3.37242, 0.65518
146436, 90626440, 1, 0.247628, -0.649957, -3.46117, 3.53312, 0.695531
146436, 90626440, 1, -0.663904, -0.52014, -4.66433, 4.74202, 0.843394
146436, 90626440, 1, 0.286863, -0.61075, -3.21147, 3.28456, 0.674764
146436, 90626440, 1, -0.574953, 0.218739, -1.78823, 1.89622, 0.615157
146436, 90626440, 1, 0.966689, -0.478384, -5.05337, 5.16908, 1.07858
146436, 90626440, 1, -0.57513, -0.00606644, 0.242399, 0.639569, 0.575162
146436, 90626440, 1, -0.716114, -0.285759, 1.43675, 1.63652, 0.771023
146436, 90626440, 1, -0.339227, -0.593696, -1.07097, 1.27828, 0.683777
146436, 90626440, 1, 0.0513007, -0.563039, -1.26508, 1.39268, 0.565371
146436, 90626440, 1, -0.332982, 0.1946, 1.0569, 1.1337, 0.385677
